boxes,graph,text
50,321.53,327.45
100,134.60,136.38
150,72.21,73.83
200,47.21,47.85
250,33.95,34.88
300,26.62,27.21
350,20.83,21.30
400,17.17,17.47
450,14.70,14.98
500,12.77,12.95
