boxes,graph,text
50,181.05,180.60
100,77.43,77.59
150,49.07,49.27
200,34.49,34.46
250,26.97,26.92
300,22.36,22.36
350,18.92,18.67
400,16.40,16.38
450,14.42,14.42
500,12.70,12.69
