boxes,graph,text
50,773.26,799.95
100,280.67,284.19
150,161.25,163.26
200,106.85,106.91
250,79.66,80.14
300,65.45,65.51
350,54.51,54.75
400,46.50,46.97
450,40.64,40.58
500,35.06,35.71
