boxes,graph,text
50,1160.20,1127.76
100,336.39,333.06
150,159.55,159.00
200,98.05,97.29
250,69.12,68.31
300,52.72,52.36
350,40.52,39.82
400,32.72,32.64
450,28.05,28.00
500,24.04,23.82
