boxes,graph,text
50,696.00,668.91
100,244.09,239.17
150,128.99,127.80
200,82.57,82.06
250,59.85,59.50
300,46.69,46.53
350,36.43,36.01
400,29.77,29.83
450,25.59,25.75
500,22.07,22.02
