boxes,graph,text
50,511.95,523.11
100,181.36,179.10
150,87.71,88.35
200,55.16,55.21
250,38.34,39.18
300,29.80,30.14
350,23.04,23.35
400,18.74,18.95
450,15.94,16.16
500,13.77,13.88
