boxes,graph,text
50,265.49,271.13
100,124.63,125.91
150,80.88,81.09
200,59.76,59.40
250,46.74,47.14
300,39.69,39.66
350,33.75,33.91
400,29.43,29.40
450,26.23,26.06
500,23.13,23.21
